,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
25,Port Augusta,-32.5,137.7667,60.75,51,0,11.72,AU,1691641806
26,Iskateley,67.6803,53.1512,59.04,70,0,6.51,RU,1691641158
27,La Passe,45.5549,-0.8967,67.98,69,11,8.12,FR,1691641416
28,Rexburg,43.826,-111.7897,74.71,47,0,11.5,US,1691641807
29,Alvorada,-12.48,-49.1247,82.54,32,38,4.29,BR,1691641807
30,Batyrevo,55.0675,47.6111,77.27,43,1,6.67,RU,1691641807
31,Klyuchi,52.2667,79.1667,79.41,32,90,5.66,RU,1691641418
32,Edinburgh of the Seven Seas,-37.0676,-12.3116,51.28,54,59,21.27,SH,1691641405
33,Dunedin,-45.8742,170.5036,41.99,77,49,8.9,NZ,1691641489
34,Illizi,26.4833,8.4667,75.0,16,0,7.18,DZ,1691641601
35,Tazovsky,67.4667,78.7,47.52,82,100,18.3,RU,1691641420
36,Hawaiian Paradise Park,19.5933,-154.9731,80.11,79,20,5.75,US,1691641419
37,Polyarny,69.1989,33.4478,65.39,74,0,7.65,RU,1691641410
38,Wailua Homesteads,22.0669,-159.378,86.43,77,75,18.41,US,1691641417
39,Olonkinbyen,70.9221,-8.7187,43.47,100,100,8.12,SJ,1691641432
40,Ben Gardane,33.1378,11.2197,75.6,60,0,5.12,TN,1691641809
41,Casper,42.8666,-106.3131,61.39,55,0,9.22,US,1691641544
42,Uturoa,-16.7333,-151.4333,76.77,71,63,18.14,PF,1691641465
43,Smithers,54.7804,-127.1743,61.12,59,75,4.61,CA,1691641435
44,Igarka,67.4667,86.5833,63.88,77,99,4.41,RU,1691641415
45,Aykhal,66.0,111.5,69.87,61,80,16.31,RU,1691641424
46,Happy Valley-Goose Bay,53.3168,-60.3315,59.31,82,100,4.61,CA,1691641423
47,Chibougamau,49.9168,-74.3659,60.42,82,75,2.3,CA,1691641468
48,Kalmunai,7.4167,81.8167,86.81,61,99,3.31,LK,1691641597
49,Tidjikja,18.5564,-11.4271,85.39,34,27,15.73,MR,1691641810
50,Sarangani,5.4033,125.4636,83.14,74,96,17.52,PH,1691641810
51,Puerto Armuelles,8.2833,-82.8667,81.09,91,100,3.0,PA,1691641811
52,Karratha,-20.7377,116.8463,82.04,27,54,9.35,AU,1691641455
53,Grytviken,-54.2811,-36.5092,23.2,89,94,5.44,GS,1691641396
54,Asahi,35.7167,140.65,93.29,65,52,8.66,JP,1691641811
55,Kirillov,59.863,38.3813,63.7,95,92,2.51,RU,1691641811
56,Weston,26.1004,-80.3998,85.98,77,0,0.0,US,1691641549
57,São Vicente,-23.9631,-46.3919,72.27,26,47,5.73,BR,1691641812
58,Ambalangoda,6.2355,80.0538,83.41,74,96,10.36,LK,1691641812
59,Tôlanaro,-25.0319,46.9987,66.27,94,40,2.3,MG,1691641451
60,Usogorsk,63.4106,48.6872,74.23,55,9,1.16,RU,1691641812
61,Qarah Bāgh,34.9402,61.7759,83.01,25,0,24.49,AF,1691641812
62,Port Elizabeth,-33.918,25.5701,55.69,94,20,5.75,ZA,1691641422
63,Vila do Maio,15.1333,-23.2167,77.79,69,71,13.87,CV,1691641813
64,Egilsstadir,65.2653,-14.3948,39.06,89,24,1.7,IS,1691641583
65,Carnarvon,-24.8667,113.6333,74.98,53,1,8.08,AU,1691641409
66,Minas de Marcona,-15.2119,-75.1103,54.37,88,30,11.36,PE,1691641466
67,Albany,42.6001,-73.9662,66.79,85,38,1.01,US,1691641405
68,Whitehorse,60.7161,-135.0538,66.97,43,75,10.36,CA,1691641400
69,Rabaul,-4.1967,152.1721,82.72,72,94,18.43,PG,1691641814
70,Sisimiut,66.9395,-53.6735,40.93,90,100,8.03,GL,1691641414
71,Yovon,38.3141,69.0378,85.68,15,0,7.02,TJ,1691641814
72,Bengkulu,-3.8004,102.2655,83.52,68,32,5.37,ID,1691641575
73,Chonchi,-42.6128,-73.8092,48.11,95,98,8.59,CL,1691641431
74,St. John's,47.5649,-52.7093,55.89,93,100,17.27,CA,1691641439
75,Sterlibashevo,53.4376,55.2578,76.05,43,3,9.62,RU,1691641815
76,Betio Village,1.358,172.9211,89.64,72,49,6.15,KI,1691641815
77,Cheria,35.2731,7.7519,55.62,43,0,6.13,DZ,1691641815
78,Hilo,19.7297,-155.09,80.33,74,20,5.75,US,1691641393
79,Ilulissat,69.2167,-51.1,41.02,93,100,5.75,GL,1691641433
80,Castlebar,53.85,-9.3,61.59,96,19,9.82,IE,1691641816
81,Naugachhia,25.4,87.1,81.61,81,99,9.31,IN,1691641816
82,Sitka,57.0531,-135.33,60.69,82,100,3.44,US,1691641654
83,George Town,5.4112,100.3354,84.15,83,20,5.99,MY,1691641186
84,Port Moresby,-9.4431,147.1797,79.12,63,41,22.55,PG,1691641816
85,Palapye,-22.546,27.1251,51.33,69,11,7.52,BW,1691641817
86,Villa Gesell,-37.2639,-56.973,55.06,94,98,13.96,AR,1691641452
87,Puerto Ayora,-0.7393,-90.3518,75.54,93,51,5.99,EC,1691641426
88,Salym,60.0625,71.4789,61.66,52,1,13.27,RU,1691641817
89,Port Saint John's,-31.6229,29.5448,60.71,88,32,8.77,ZA,1691641414
90,Aasiaat,68.7098,-52.8699,37.42,93,93,10.49,GL,1691641400
91,Ouadda,8.0777,22.4007,68.54,99,100,1.41,CF,1691641817
92,Margaret River,-33.95,115.0667,54.88,74,100,5.73,AU,1691641413
93,Wakkanai,45.4094,141.6739,64.38,96,75,17.27,JP,1691641818
94,Bethel,41.3712,-73.414,71.96,77,0,3.44,US,1691641406
95,Bilibino,68.0546,166.4372,61.79,43,97,9.69,RU,1691641400
96,Sakaiminato,35.55,133.2333,98.58,44,40,19.57,JP,1691641603
97,Colonia del Sacramento,-34.4667,-57.85,56.34,89,90,11.01,UY,1691641819
98,Senanga,-16.1167,23.2667,54.55,53,0,7.4,ZM,1691641819
99,Quellón,-43.1167,-73.6167,48.45,93,100,17.27,CL,1691641599
100,Hithadhoo,-0.6,73.0833,81.18,74,69,5.68,MV,1691641421
101,Olyokminsk,60.3736,120.4264,89.31,33,8,3.85,RU,1691641820
102,Nuuk,64.1835,-51.7216,39.81,100,100,11.5,GL,1691641653
103,Howard Springs,-12.497,131.047,87.71,27,59,8.86,AU,1691641602
104,Meadow Lakes,61.6247,-149.6011,61.56,86,100,3.44,US,1691641820
105,Avarua,-21.2078,-159.775,75.25,73,100,13.8,CK,1691641417
106,Lorengau,-2.0226,147.2712,81.88,81,95,17.05,PG,1691641821
107,Gargaliánoi,37.0667,21.6333,72.36,69,0,1.83,GR,1691641821
108,Talnakh,69.4865,88.3972,60.21,46,100,8.68,RU,1691641410
109,Mata-Utu,-13.2816,-176.1745,82.62,77,28,11.05,WF,1691641409
110,Fuqing,25.725,119.3794,82.17,94,100,3.02,CN,1691641821
111,Karmaskaly,54.3709,56.1837,69.71,44,29,7.52,RU,1691641822
112,Jamestown,42.097,-79.2353,69.71,84,75,0.0,US,1691641226
113,Bāneh,35.9975,45.8853,85.17,24,0,5.14,IR,1691641822
114,Ponnāni,10.767,75.9252,83.52,74,94,11.68,IN,1691641822
115,Balikpapan,-1.2675,116.8289,85.19,74,40,8.05,ID,1691641609
116,Christchurch,-43.5333,172.6333,45.48,68,100,16.11,NZ,1691641598
117,Cartagena,10.3997,-75.5144,83.82,89,20,8.05,CO,1691641650
118,Rémire-Montjoly,4.9167,-52.2667,75.24,94,20,0.0,GF,1691641419
119,Broken Hill,-31.95,141.4333,61.57,36,1,7.47,AU,1691641823
120,Naryan-Mar,67.6713,53.087,59.22,70,0,6.53,RU,1691641434
121,Cedro,-6.6067,-39.0622,70.79,67,23,6.55,BR,1691641823
122,Atafu Village,-8.5421,-172.5159,82.36,80,42,14.2,TK,1691641396
123,Corner Brook,48.9667,-57.9484,55.56,94,100,14.85,CA,1691641768
124,Ust-Nera,64.5667,143.2,71.24,40,5,3.42,RU,1691641253
125,Esim,4.8699,-2.2405,75.0,87,100,10.8,GH,1691641473
126,Ejura,7.3856,-1.3562,70.81,91,100,7.81,GH,1691641824
127,Vorgashor,67.5833,63.95,57.06,63,63,11.63,RU,1691641404
128,Saint Paul Harbor,57.79,-152.4072,53.11,94,75,4.61,US,1691641411
129,Howrah,22.5892,88.3103,84.2,79,100,6.91,IN,1691641572
130,Aripuanã,-9.1667,-60.6333,79.27,50,60,1.12,BR,1691641528
131,Kabalo,-6.05,26.9167,73.15,41,0,3.98,CD,1691641825
132,Lā‘ie,21.6477,-157.9253,84.16,72,6,18.57,US,1691641453
133,Isafjordur,66.0755,-23.124,43.9,82,42,7.05,IS,1691641245
134,Ribeira Grande,38.5167,-28.7,69.78,86,67,7.0,PT,1691641401
135,Manado,1.487,124.8455,93.97,49,40,10.36,ID,1691641825
136,Stanley,54.868,-1.6985,61.29,92,40,1.14,GB,1691641434
137,Kingscliff,-28.2667,153.5667,74.73,56,1,17.27,AU,1691641826
138,Genhe,50.7833,121.5167,81.73,36,60,0.69,CN,1691641826
139,Yigo Village,13.5361,144.8886,83.73,77,40,14.97,GU,1691641826
140,Tacna,-18.0056,-70.2483,59.9,89,33,3.89,PE,1691641826
141,Paka,4.6374,103.4368,89.53,66,40,4.61,MY,1691641826
142,College,64.8569,-147.8028,69.78,73,75,10.36,US,1691641426
143,Sai Buri,6.7013,101.6168,89.31,57,78,2.84,TH,1691641827
144,Tatarsk,55.219,75.9828,59.14,79,99,11.56,RU,1691641827
145,Alofi,-19.0595,-169.9187,80.49,83,12,4.61,NU,1691641261
146,Alegrete,-29.7831,-55.7919,53.74,97,56,5.14,BR,1691641827
147,Kuhmo,64.1333,29.5167,58.64,96,99,5.99,FI,1691641828
148,Okhotsk,59.3833,143.3,62.6,67,12,9.69,RU,1691641828
149,Saldanha,-33.0117,17.9442,48.25,63,0,6.22,ZA,1691641450
150,Guerrero Negro,27.9769,-114.0611,70.59,88,4,14.52,MX,1691641828
151,San Antonio de Palé,-1.4014,5.6325,74.41,78,96,10.98,GQ,1691641420
152,Montego Bay,18.4712,-77.9188,80.4,89,20,8.05,JM,1691641828
153,Port Alfred,-33.5906,26.891,57.18,92,0,3.0,ZA,1691641184
154,Lebu,-37.6167,-73.65,52.11,88,54,12.68,CL,1691641420
155,Lamu,-2.2717,40.902,75.42,84,79,10.76,KE,1691641605
156,Taiynsha,53.8478,69.7639,74.55,51,30,14.63,KZ,1691641829
157,Thompson,55.7435,-97.8558,50.16,87,20,0.0,CA,1691641414
158,Nova Sintra,14.8667,-24.7167,72.79,73,69,14.29,CV,1691641416
159,Sogndal,61.2283,7.1003,50.38,100,100,2.3,NO,1691641830
160,Hell-Ville,-13.4,48.2667,69.67,75,20,2.3,MG,1691641830
161,Hammerfest,70.6634,23.6821,73.85,60,0,0.0,NO,1691641412
162,Anadyr,64.75,177.4833,57.7,67,40,8.01,RU,1691641422
163,Silver Springs,29.1044,-82.0206,84.94,85,12,3.8,US,1691641830
164,Labrador City,52.9463,-66.9114,51.71,100,100,3.44,CA,1691641488
165,Naantali,60.4674,22.0243,59.86,94,0,5.75,FI,1691641830
166,Puerto Baquerizo Moreno,-0.9,-89.6,74.55,82,82,7.4,EC,1691641478
167,Carahue,-38.7,-73.1667,49.23,93,75,6.69,CL,1691641831
168,Laguna,38.421,-121.4238,81.45,55,0,6.91,US,1691641487
169,Media Luna,20.1419,-77.435,78.08,79,100,10.31,CU,1691641831
170,Broome,42.2506,-75.833,67.35,93,96,3.85,US,1691641435
171,El Calafate,-50.3408,-72.2768,34.95,86,41,4.25,AR,1691641427
172,Bubaque,11.2833,-15.8333,78.48,85,100,3.02,GW,1691641433
173,Chāndbāli,20.7833,86.7667,93.25,45,57,6.58,IN,1691641832
174,Nemuro,43.3236,145.575,69.24,94,100,17.02,JP,1691641256
175,Lethem,3.3803,-59.7968,79.0,71,93,5.19,GY,1691641481
176,Ingeniero Guillermo N. Juárez,-23.9,-61.85,64.0,67,3,7.16,AR,1691641833
177,Qaqortoq,60.7167,-46.0333,42.37,85,10,0.94,GL,1691641419
178,Kailua-Kona,19.6406,-155.9956,85.96,70,75,8.05,US,1691641406
179,Pundong,-7.9522,110.3486,83.01,56,29,13.6,ID,1691641833
180,Pisco,-13.7,-76.2167,62.65,88,100,3.44,PE,1691641444
181,The Pas,53.8251,-101.2541,51.82,87,0,0.0,CA,1691641833
182,Saipan,15.1355,145.701,79.65,100,100,6.91,MP,1691641427
183,Bo`ka,40.8108,69.1986,93.79,19,0,3.58,UZ,1691641833
184,Kyzyl-Suu,42.3414,78.0056,73.36,38,0,6.85,KG,1691641834
185,Ponta Delgada,37.7333,-25.6667,75.92,94,75,13.8,PT,1691641579
186,Georgiyevka,43.0369,74.7114,86.04,32,0,4.47,KZ,1691641834
187,Rio Grande,-32.035,-52.0986,59.95,96,100,12.82,BR,1691641427
188,Kristiansund,63.1115,7.732,52.45,82,100,3.44,NO,1691641458
189,Irymple,-34.25,142.1667,61.09,56,13,1.01,AU,1691641834
190,Yamada,39.4667,141.95,84.49,66,2,15.73,JP,1691641834
191,Enewetak,11.3474,162.3373,83.84,76,70,14.61,MH,1691641421
192,Natal,-5.795,-35.2094,74.05,94,40,5.75,BR,1691641589
193,Keflavik,64.0049,-22.5624,52.23,76,0,11.5,IS,1691641410
194,Sur,22.5667,59.5289,86.65,59,68,9.89,OM,1691641142
195,Petrov Val,50.1434,45.2096,80.55,37,25,12.75,RU,1691641835
196,São João da Barra,-21.6403,-41.0511,70.0,87,87,10.0,BR,1691641642
197,Rongelap,11.1635,166.8941,83.44,75,13,10.71,MH,1691641835
198,Hamilton,39.1834,-84.5333,73.0,90,100,13.8,US,1691641420
199,Gillette,44.2911,-105.5022,66.94,53,0,3.0,US,1691641836
200,Kucha,41.7278,82.9364,91.38,14,0,1.45,CN,1691641836
201,Dayr Ḩāfir,36.1569,37.7078,80.01,65,0,10.22,SY,1691641836
202,Haiku-Pauwela,20.9219,-156.3051,78.82,70,20,23.02,US,1691641440
203,Inírida,3.8653,-67.9239,73.0,99,100,2.55,CO,1691641836
204,Elyria,41.3684,-82.1077,73.8,84,100,6.91,US,1691641836
205,Burnie,-41.0667,145.9167,59.45,68,38,12.62,AU,1691641837
206,Bardai,11.65,7.2333,69.15,96,99,9.75,NG,1691641640
207,Lijiang,26.8688,100.2207,74.95,66,100,2.73,CN,1691641837
208,Verāval,20.9,70.3667,82.6,79,99,17.87,IN,1691641837
209,Blagoveshchenka,52.8333,79.8667,72.09,44,69,4.25,RU,1691641633
210,Invercargill,-46.4,168.35,47.01,64,31,5.01,NZ,1691641380
211,Venice of the Philippines,4.6628,119.3928,83.93,72,95,11.9,PH,1691641837
212,Jabor,5.921,169.6434,82.6,74,97,7.92,MH,1691641838
213,Hermanus,-34.4187,19.2345,51.8,70,0,8.21,ZA,1691641417
214,I-n-Salah,27.1935,2.4607,88.09,16,0,10.36,DZ,1691641838
215,Tamanghasset,22.785,5.5228,80.51,29,0,11.5,DZ,1691641270
216,Ilomantsi,62.6716,30.9328,62.69,93,93,4.88,FI,1691641838
217,Chiang Kham,19.5233,100.3,79.59,82,100,4.03,TH,1691641838
218,Horta,38.5333,-28.6333,69.03,86,67,8.99,PT,1691641470
219,Constanța,44.1833,28.65,66.88,69,83,13.24,RO,1691641417
220,Gamboma,-1.8764,15.8644,73.42,70,95,2.08,CG,1691641839
221,Tateyama,34.9833,139.8667,83.48,76,44,10.6,JP,1691641839
222,La Rioja,42.25,-2.5,60.58,48,4,5.61,ES,1691641484
223,Tindouf,27.6711,-8.1474,93.65,11,0,9.22,DZ,1691641454
224,Mount Isa,-20.7333,139.5,80.37,24,12,5.75,AU,1691641429
225,Ambon City,-3.6954,128.1814,84.34,70,40,9.22,ID,1691641428
226,Zaoyang,32.1272,112.7542,91.85,52,27,4.27,CN,1691641839
227,Kapaa,22.0752,-159.319,87.78,77,75,18.41,US,1691641611
228,Aulnoye-Aymeries,50.2014,3.8384,56.82,78,0,5.64,FR,1691641840
229,Gereida,11.2811,25.1414,74.01,85,48,4.99,SD,1691641840
230,Aleksandrovsk-Sakhalinskiy,50.8975,142.1561,67.95,72,100,3.36,RU,1691641840
231,Bouarfa,32.53,-1.95,81.93,23,47,5.28,MA,1691641840
232,Longyearbyen,78.2186,15.6401,51.64,58,0,3.44,SJ,1691641402
233,Ōtsuchi,39.3667,141.9,84.24,67,9,14.12,JP,1691641840
234,Sīwah,29.2041,25.5195,80.19,50,0,7.96,EG,1691641608
235,Eureka,40.8021,-124.1637,63.79,90,59,1.99,US,1691641841
236,Safidon,29.4167,76.6667,93.09,48,96,8.52,IN,1691641841
237,Nova Viçosa,-17.8919,-39.3719,70.9,75,7,5.53,BR,1691641472
238,Bathsheba,13.2167,-59.5167,83.01,83,40,8.05,BB,1691641841
239,Terryville,40.909,-73.0651,74.88,64,0,14.0,US,1691641841
240,Gangāwati,15.4333,76.5333,86.63,52,98,10.29,IN,1691641842
241,Zapadnaya Dvina,56.259,32.0745,59.13,62,9,3.33,RU,1691641842
242,Shingū,33.7333,135.9833,81.52,88,14,11.65,JP,1691641468
243,Lyubinskiy,55.1542,72.6925,65.88,73,94,11.81,RU,1691641842
244,Thunder Bay,48.4001,-89.3168,60.78,77,100,6.91,CA,1691641405
245,Utrik,11.2278,169.8474,83.14,71,57,12.19,MH,1691641399
246,El Porvenir,13.7617,-87.3458,76.33,83,82,2.8,HN,1691641842
247,Tsiombe,-25.3,45.4833,65.21,86,27,7.61,MG,1691641476
248,Okha,53.5739,142.9478,61.29,77,82,9.73,RU,1691641584
249,Helena Valley West Central,46.6629,-112.0604,65.28,74,20,6.91,US,1691641843
250,Inarajan Village,13.2736,144.7484,85.39,86,100,19.77,GU,1691641843
251,Ulety,51.3572,112.4849,65.64,94,100,4.61,RU,1691641629
252,Nuku'alofa,-21.1333,-175.2,75.54,88,75,9.22,TO,1691641275
253,Prince Rupert,54.3161,-130.3201,59.09,96,100,12.66,CA,1691641473
254,New Norfolk,-42.7826,147.0587,58.5,63,74,9.08,AU,1691641430
255,Papao,-17.75,-149.55,78.48,72,70,16.53,PF,1691641474
256,Kupang,-10.1667,123.5833,90.18,48,20,21.85,ID,1691641485
257,Gijang,35.2442,129.2139,76.73,89,100,20.85,KR,1691641845
258,Florø,61.5996,5.0328,50.07,93,75,9.22,NO,1691641845
259,Kilindoni,-7.9139,39.6668,76.32,75,4,15.93,TZ,1691641845
260,Pitimbu,-7.4706,-34.8086,72.19,80,13,12.41,BR,1691641846
261,Flin Flon,54.7682,-101.865,54.18,57,36,5.61,CA,1691641425
262,Rameswaram,9.2833,79.3,82.15,83,100,9.17,IN,1691641846
263,Chokwé,-24.5333,32.9833,64.04,79,82,3.71,MZ,1691641846
264,Edgewater,28.9889,-80.9023,85.17,92,79,5.03,US,1691641846
265,Koné,-21.0595,164.8658,68.68,48,66,15.46,NC,1691641411
266,Danlí,14.0333,-86.5833,70.18,82,52,2.37,HN,1691641846
267,Inhambane,-23.865,35.3833,68.38,66,36,11.1,MZ,1691641460
268,Holualoa,19.6228,-155.9522,82.24,71,75,8.05,US,1691641847
269,Arraial do Cabo,-22.9661,-42.0278,69.51,87,29,18.57,BR,1691641416
270,Cabo San Lucas,22.8909,-109.9124,85.05,77,22,12.97,MX,1691641203
271,Gamba,-2.65,10.0,69.87,94,100,2.73,GA,1691641418
272,Mysen,59.5535,11.3258,53.69,94,83,4.32,NO,1691641847
273,Hūn,29.1268,15.9477,72.88,69,0,4.43,LY,1691641848
274,Neftegorsk,52.802,51.166,77.9,41,0,6.6,RU,1691641848
275,Noumea,-22.2763,166.4572,69.78,56,56,16.08,NC,1691641804
276,Flying Fish Cove,-10.4217,105.6791,80.28,69,40,16.11,CX,1691641848
277,Toropets,56.4978,31.6353,59.36,60,11,4.36,RU,1691641848
278,Kayes,14.0,-11.0,78.42,83,89,13.71,ML,1691641848
279,Muroto-misakicho,33.2833,134.15,81.57,88,21,19.71,JP,1691641848
280,Scarborough,54.2797,-0.4044,63.66,87,58,3.94,GB,1691641626
281,Angaur State,6.906,134.13,82.8,80,100,19.48,PW,1691641429
282,Maracaju,-21.6144,-55.1683,73.6,56,5,0.96,BR,1691641849
283,Okulovka,58.4008,33.2908,61.23,57,1,4.09,RU,1691641849
284,Walvis Bay,-22.9575,14.5053,56.08,85,89,6.53,NA,1691641406
285,Banjar,-8.19,114.9675,85.35,51,39,2.98,ID,1691641661
286,Hasaki,35.7333,140.8333,93.31,71,60,8.37,JP,1691641488
287,Freetown,8.484,-13.2299,76.71,88,75,10.36,SL,1691641577
288,Feijó,-8.1642,-70.3536,73.85,80,60,2.51,BR,1691641850
289,Mezhdurechensk,53.6942,88.0603,77.5,46,56,6.53,RU,1691641850
290,Rāzole,16.4833,81.8333,91.49,54,92,6.76,IN,1691641850
291,Ocean City,39.2776,-74.5746,75.97,80,56,3.0,US,1691641806
292,Sabang,5.8933,95.3214,82.02,79,90,21.79,ID,1691641850
293,Kruisfontein,-34.0033,24.7314,50.88,77,2,7.18,ZA,1691641850
294,Omdurman,15.6445,32.4777,87.82,49,75,12.88,SD,1691641850
295,Viedma,-40.8135,-62.9967,55.62,47,100,14.76,AR,1691641851
296,Astrakhan,46.3497,48.0408,84.07,42,40,7.0,RU,1691641851
297,Nagqu Prefecture,31.5,92.0,58.77,53,23,6.38,CN,1691641434
298,Tabursuq,36.4569,9.2475,67.68,44,0,3.6,TN,1691641851
299,Petropavlovsk-Kamchatskiy,53.0452,158.6483,68.59,56,40,15.66,RU,1691641408
300,Catriel,-37.8791,-67.7956,54.12,45,55,11.63,AR,1691641851
301,Pagar Alam,-4.0167,103.2667,84.15,51,16,5.1,ID,1691641852
302,Childress,34.4264,-100.204,82.65,57,0,6.91,US,1691641852
303,Kapuskasing,49.4169,-82.4331,59.09,88,100,6.91,CA,1691641422
304,Deori Khās,23.4,79.0167,81.59,75,98,12.41,IN,1691641852
305,Zafra,38.4167,-6.4167,69.35,47,0,1.79,ES,1691641852
306,Mammoth Lakes,37.6485,-118.9721,59.72,27,0,0.0,US,1691641408
307,Evansville,37.9748,-87.5558,72.01,93,100,4.61,US,1691641582
308,San Miguel de Cozumel,20.5083,-86.9458,85.95,89,0,7.0,MX,1691641853
309,Magadan,59.5667,150.8,72.54,60,12,9.66,RU,1691641853
310,Nanyang,32.9947,112.5328,89.74,59,4,5.26,CN,1691641800
311,Mana,5.6592,-53.7767,77.32,90,14,10.98,GF,1691641853
312,Kidal,18.4411,1.4078,86.99,51,17,4.88,ML,1691641137
313,Alma,48.5501,-71.6491,61.81,94,2,1.92,CA,1691641714
314,Oranjemund,-28.55,16.4333,71.06,26,2,11.61,NA,1691641574
315,Ewo,-0.8725,14.8206,73.51,73,84,4.29,CG,1691641854
316,Botou,38.0667,116.5667,89.44,54,41,4.63,CN,1691641854
317,Nizhneudinsk,54.9076,99.0276,73.92,53,100,6.62,RU,1691641854
318,Bam,29.106,58.357,89.73,16,18,10.89,IR,1691641610
319,Khovd,48.0056,91.6419,70.0,48,6,8.81,MN,1691641854
320,Yeppoon,-23.1333,150.7333,74.98,57,19,10.36,AU,1691641854
321,Dwārka,22.2394,68.9678,82.44,80,100,20.51,IN,1691641854
322,Ippy,6.2679,21.2247,68.31,100,100,2.77,CF,1691641855
323,Castillos,-34.1667,-53.8333,58.12,94,100,12.37,UY,1691641186
324,Kuusamo,65.9667,29.1833,61.32,91,77,10.87,FI,1691641855
325,Verkhnevilyuysk,63.4453,120.3167,80.87,34,4,9.51,RU,1691641855
326,Niafunké,15.9322,-3.9906,86.67,55,97,12.86,ML,1691641855
327,Pokaran,26.9167,71.9167,88.5,53,66,17.25,IN,1691641855
328,Montepuez,-13.1256,38.9997,64.85,66,1,9.64,MZ,1691641855
329,Touros,-5.1989,-35.4608,73.74,84,50,13.04,BR,1691641436
330,Kerikeri,-35.2268,173.9474,58.91,78,23,1.99,NZ,1691641421
331,Sisa,-6.6167,-76.6915,70.36,95,34,3.78,PE,1691641856
332,Udachny,66.4167,112.4,64.45,55,94,16.73,RU,1691641409
333,Dubbo,-32.25,148.6167,68.13,34,75,17.27,AU,1691641856
334,Mondragone,41.1141,13.8935,71.01,94,0,4.61,IT,1691641856
335,Fort Bragg,35.139,-79.006,76.91,81,0,3.44,US,1691641413
336,Ancud,-41.8697,-73.8203,50.0,90,100,17.63,CL,1691641172
337,Severo-Yeniseyskiy,60.3725,93.0408,65.66,53,25,7.58,RU,1691641455
338,Sorong,-0.8833,131.25,83.7,68,92,15.84,ID,1691641857
339,Cockburn Town,21.4612,-71.1419,83.73,80,83,17.13,TC,1691641628
340,Turtas,58.9417,69.1325,62.13,49,4,9.31,RU,1691641857
341,Jertih,5.7336,102.4897,88.68,63,97,1.07,MY,1691641857
342,Bria,6.5423,21.9863,68.38,99,100,3.18,CF,1691641857
343,Taksimo,56.3444,114.8794,65.64,79,100,3.83,RU,1691641582
344,Tsengel,49.4783,100.8894,67.84,61,46,7.72,MN,1691641857
345,Morehead City,34.7229,-76.726,83.01,83,0,8.05,US,1691641858
346,Lake Havasu City,34.4839,-114.3224,101.01,22,21,8.05,US,1691641858
347,Bhīmunipatnam,17.8833,83.4333,89.56,54,80,3.18,IN,1691641858
348,Türkmenbaşy,40.0222,52.9552,88.57,40,0,4.61,TM,1691641858
349,Tongouson,5.0214,120.1328,84.76,69,98,10.2,PH,1691641858
350,Hadibu,12.65,54.0333,78.75,80,100,23.17,YE,1691641445
351,Mahibadhoo,3.7833,72.9667,80.89,81,100,8.79,MV,1691641859
352,Corinth,37.9407,22.9573,73.89,53,0,1.77,GR,1691641859
353,Armidale,-30.5167,151.65,59.2,39,24,14.79,AU,1691641859
354,Neiafu,-18.65,-173.9833,81.28,78,20,4.61,TO,1691641859
